total_rows,total_columns,duplicate_exact_rows,column,dtype,missing_values,missing_pct,unique_values
1000,10,0,year,int64,0,0.0,24
1000,10,0,country,string,0,0.0,15
1000,10,0,avg_temperature_c,float64,0,0.0,292
1000,10,0,co2_emissions_tons_capita,float64,0,0.0,194
1000,10,0,sea_level_rise_mm,float64,0,0.0,41
1000,10,0,rainfall_mm,int64,0,0.0,799
1000,10,0,population,int64,0,0.0,1000
1000,10,0,renewable_energy_pct,float64,0,0.0,407
1000,10,0,extreme_weather_events,int64,0,0.0,15
1000,10,0,forest_area_pct,float64,0,0.0,473
